lat,lon,Enb.avg_income,Enb.woz,Enbp.high_education,Enbp.independent,Enbp.low_education,Enbp.unemployed,Gcb.buurt,Gcb.buurtcode,Inp.Grey,Pnb.cohesion,Pnb.diversity,Pnb.good_life,Pnb.pop,Pnbp.complains_aq,Pnbp.complains_noise,Pnbp.feels_unsafe,Pnbp.mostly_by_car,Pnbp.mostly_walking,Pnbp.unhappy,Vc.milieuzone,Vc.mode_species,Vc.mode_tree_species,Vn.PM10_avg_2020,Vn.PM10_avg_2021,Vn.PM10_avg_2022,Vn.med_tree_height,Vn.number_species,Vn.number_tree_species,Vn.number_trees,Vn.prec_ann,Vn.tavg_ann,Vnp.Green
51414,5451,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.5808265287363001,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,ONDATRA ZIBETHICUS,Zomereik,,,,16.5,3.0,5.0,24.0,64.5,9.945994059244791,0.11067173111287706
51414,5452,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.7204863267062508,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Zomereik,,,,16.5,,5.0,9.0,64.5,9.945994059244791,0.047399190494580155
51414,5453,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.06154453336031305,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,Zomereik,,,,13.5,,1.0,1.0,64.5,9.945994059244791,0.11196878139782511
51414,5454,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.04282977927054058,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,,,,,,,,,64.5,9.945994059244791,0.07503531089641445
51414,5455,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.04921569820081897,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,,,,,,,,,64.5,9.945994059244791,0.17794516914423641
51414,5456,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.044063379383391416,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,,,,,,,,,,,0.0981045842206034
51414,5457,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.042435670980240967,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,,,,,,,,,64.5,9.945994059244791,0.035088690974508896
51414,5458,34.79,238.0,24.0,66.09,40.2,9.0,"Bennekel-West, Gagelbosch",725,0.035282107214366636,5.3,0.65,6.9,42.0,21.0,49.0,21.0,60.0,18.0,9.0,0,,,,,,,,,,64.5,9.945994059244791,0.0
51414,5459,,,,,,,Beemden,727,0.026308348362096654,,,,,,,,,,,0,,,,,,,,,,64.5,9.945994059244791,0.0
51414,5460,,,,,,,Beemden,727,0.016642472796729972,,,,,,,,,,,0,TRIFOLIUM ARVENSE,,,,,,1.0,,,64.5,9.945994059244791,0.0
51414,5461,,,,,,,Beemden,727,0.0,,,,,,,,,,,0,,,,,,,,,,64.5,9.945994059244791,0.0
51414,5462,,,,,,,Beemden,727,0.0,,,,,,,,,,,0,,,,,,,,,,64.5,9.945994059244791,0.0
51414,5463,,,,,,,Beemden,727,0.0,,,,,,,,,,,0,,,,,,,,,,64.5,9.945994059244791,0.0
51414,5464,,,,,,,Gennep,726,0.18539153310583295,,,,0.0,,,,,,,0,,Berk,,,,10.5,,6.0,30.0,64.5,9.945994059244791,0.36543014200572577
51414,5465,,,,,,,Gennep,726,0.0,,,,0.0,,,,,,,0,,,,,,,,,,64.5,9.945994059244791,0.8591685296962539
